Region,State,Population
United States,United States,"334914895"
Northeast,Northeast,"56983517"
Midwest,Midwest,"68909283"
South,South,"130125290"
Southeast,Southeast,"95568165"
Southwest,Southwest,"44102840"
West,West,"78896805"
Alabama,Alabama,"5108468"
Alaska,Alaska,"733406"
Arizona,Arizona,"7431344"
Arkansas,Arkansas,"3067732"
California,California,"38965193"
Colorado,Colorado,"5877610"
Connecticut,Connecticut,"3617176"
Delaware,Delaware,"1031890"
District of Columbia,District of Columbia,"678972"
Florida,Florida,"22610726"
Georgia,Georgia,"11029227"
Hawaii,Hawaii,"1435138"
Idaho,Idaho,"1964726"
Illinois,Illinois,"12549689"
Indiana,Indiana,"6862199"
Iowa,Iowa,"3207004"
Kansas,Kansas,"2940546"
Kentucky,Kentucky,"4526154"
Louisiana,Louisiana,"4573749"
Maine,Maine,"1395722"
Maryland,Maryland,"6180253"
Massachusetts,Massachusetts,"7001399"
Michigan,Michigan,"10037261"
Minnesota,Minnesota,"5737915"
Mississippi,Mississippi,"2939690"
Missouri,Missouri,"6196156"
Montana,Montana,"1132812"
Nebraska,Nebraska,"1978379"
Nevada,Nevada,"3194176"
New Hampshire,New Hampshire,"1402054"
New Jersey,New Jersey,"9290841"
New Mexico,New Mexico,"2114371"
New York,New York,"19571216"
North Carolina,North Carolina,"10835491"
North Dakota,North Dakota,"783926"
Ohio,Ohio,"11785935"
Oklahoma,Oklahoma,"4053824"
Oregon,Oregon,"4233358"
Pennsylvania,Pennsylvania,"12961683"
Rhode Island,Rhode Island,"1095962"
South Carolina,South Carolina,"5373555"
South Dakota,South Dakota,"919318"
Tennessee,Tennessee,"7126489"
Texas,Texas,"30503301"
Utah,Utah,"3417734"
Vermont,Vermont,"647464"
Virginia,Virginia,"8715698"
Washington,Washington,"7812880"
West Virginia,West Virginia,"1770071"
Wisconsin,Wisconsin,"5910955"
Wyoming,Wyoming,584057
